==38844== NVPROF is profiling process 38844, command: python tf_cnn_benchmarks.py --num_gpus=1 --batch_size=32 --model=resnet50 --num_batches=3 --num_warmup_batches=1
==38844== Profiling application: python tf_cnn_benchmarks.py --num_gpus=1 --batch_size=32 --model=resnet50 --num_batches=3 --num_warmup_batches=1
==38844== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name"
1.183982,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184082,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184171,0.001312,,,,,,,,,,0.000244,0.181721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184261,0.001280,,,,,,,,,,0.000244,0.186265,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184383,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184490,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184588,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184678,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184767,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184885,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.184975,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185074,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185174,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185273,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185372,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185490,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185579,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185675,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185774,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185874,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.185972,0.001376,,,,,,,,,,0.000488,0.346539,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186089,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186177,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186275,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186373,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186471,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186568,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186688,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186778,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186875,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.186975,0.001760,,,,,,,,,,0.001953,1.083721,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.187075,0.001728,,,,,,,,,,0.001953,1.103790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.187175,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.187321,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.187429,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.187529,0.001376,,,,,,,,,,0.000488,0.346539,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.187628,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.187726,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.187849,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.187957,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188058,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188158,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188246,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188361,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188470,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188571,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188660,0.001728,,,,,,,,,,0.001953,1.103790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188749,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188864,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.188973,0.001376,,,,,,,,,,0.000488,0.346539,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189073,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189163,0.001376,,,,,,,,,,0.000488,0.346539,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189253,0.001568,,,,,,,,,,0.000488,0.304105,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189367,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189452,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189549,0.001728,,,,,,,,,,0.000488,0.275947,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189649,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189737,0.001376,,,,,,,,,,0.000488,0.346539,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189825,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.189939,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190047,0.001728,,,,,,,,,,0.001953,1.103790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190149,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190237,0.001728,,,,,,,,,,0.001953,1.103790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190326,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190442,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190549,0.001376,,,,,,,,,,0.000488,0.346539,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190651,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190740,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190829,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.190951,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191059,0.001376,,,,,,,,,,0.000488,0.346539,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191162,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191259,0.001344,,,,,,,,,,0.000488,0.354790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191351,0.001472,,,,,,,,,,0.000488,0.323938,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191476,0.003168,,,,,,,,,,0.007812,2.408268,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191569,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191666,0.001728,,,,,,,,,,0.001953,1.103790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191766,0.001696,,,,,,,,,,0.001953,1.124616,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191856,0.001728,,,,,,,,,,0.001953,1.103790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.191949,0.001728,,,,,,,,,,0.001953,1.103790,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192057,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192148,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192245,0.002176,,,,,,,,,,0.003906,1.753078,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192347,0.002176,,,,,,,,,,0.003906,1.753078,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192437,0.002176,,,,,,,,,,0.003906,1.753078,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192534,0.002208,,,,,,,,,,0.003906,1.727671,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192660,0.001216,,,,,,,,,,0.000004,0.003064,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192768,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192870,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.192960,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193049,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193137,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193229,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193324,0.001504,,,,,,,,,,0.000977,0.634092,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193427,0.001504,,,,,,,,,,0.000977,0.634092,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193517,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193618,0.001504,,,,,,,,,,0.000977,0.634092,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193737,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193829,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.193927,0.002176,,,,,,,,,,0.003906,1.753078,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.194031,0.002176,,,,,,,,,,0.003906,1.753078,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.194132,0.002208,,,,,,,,,,0.003906,1.727671,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.194233,0.002208,,,,,,,,,,0.003906,1.727671,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.194367,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.194475,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.194575,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.194675,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.194776,0.001504,,,,,,,,,,0.000977,0.634092,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.194906,0.003136,,,,,,,,,,0.007812,2.432843,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195000,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195097,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195199,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195299,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195395,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195510,0.001280,,,,,,,,,,0.000004,0.002910,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195620,0.002208,,,,,,,,,,0.003906,1.727671,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195724,0.002176,,,,,,,,,,0.003906,1.753078,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195815,0.002208,,,,,,,,,,0.003906,1.727671,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.195907,0.002176,,,,,,,,,,0.003906,1.753078,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196030,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196138,0.001504,,,,,,,,,,0.000977,0.634092,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196241,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196352,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196455,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196585,0.003136,,,,,,,,,,0.007812,2.432843,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196680,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196775,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196877,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.196980,0.001504,,,,,,,,,,0.000977,0.634092,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.197081,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.197208,0.001248,,,,,,,,,,0.000004,0.002985,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.197319,0.002208,,,,,,,,,,0.003906,1.727671,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.197421,0.002208,,,,,,,,,,0.003906,1.727671,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.197523,0.002176,,,,,,,,,,0.003906,1.753078,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.197626,0.002208,,,,,,,,,,0.003906,1.727671,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.197760,0.001280,,,,,,,,,,0.000004,0.002910,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.197869,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.197973,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.198062,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.198154,0.001472,,,,,,,,,,0.000977,0.647877,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
1.198277,0.003136,,,,,,,,,,0.007812,2.432843,"Pinned","Device","Tesla M60 (0)","1","15","[CUDA memcpy HtoD]"
